Name,Portion,Ingredients,Calories,Fats,Protein,Carbs,Salt,Allergens,Additives
SALATA ICRE CRAP,100GR,"icre crap-25gr, ulei-60gr, zeama de lamaie, ceapa, apa, sare",565/2361,61gr/30gr,6,0,1gr,peste,
SALATA ICRE STIUCA,100GR,"icre stiuca-25gr, ulei-60gr, zeama de lamaie, apa, sare",564/2357,60.5/29.5,7,0,1gr,peste,
ICRE STIUCA NATUR,100GR,"icre stiuca-48gr, sare-2gr",62.5/261,0.75,13,0,2gr,peste,
CARNATI DE PESTE,200GR,"crap-90gr, novac-90gr, condiment-piper, boia, usturoi, timbru, apa, sare",213/890,8/1.5,37,0,2gr,"peste, usturoi",
ZACUSCA PESTE,200GR,"crap-50gr, novac-50gr, ceapa, rosii, vinete, ardei, ciuperci (cantitati variabile), sare, piper, boia dulce, apa",140/585,5,19,4,2,peste,
SALATA FILE HAMSIE,300GR,"file hamsie-150gr, salata verde-80gr, ceapa-30gr, ardei-30gr, rucola, sare",210/877,8,31,2.5,1.5,peste,
SALATA SARDINA,300GR,"File sardine-150gr, salata verde-80gr, Ceapa-30gr, ardei-30gr, rucola,sare",200/836,8,31,2.5,1.5,peste,
CHIFTELUTE DE PESTE,200GR,"Crap-90gr, novac-90gr, ceapa, usturoi, boia ardei, sare, apa",213/890,8/1.5,37,3,2,"peste, usturoi",
PESTE MARINAT - SARDINA HAMSIE SCRUMBIE LUFAR CHEFAL,150GR,"File peste-147gr, sare, otet",225/940,15/8,18,3.8,1.5,peste,
PLATOU APERITIV,1200GR,"Salata icre crap 100gr, salata icre stiuca 100gr, chiftelute peste 200gr, carnati peste 200gr, zacusca 200gr",2431/10162,183/80,168,32,15,"peste, crustacee, moluste, gluten",
CIORBA DE PESTE,500GR,"Crap-60gr, novac-60gr, legume-40gr, (ceapa, ardei, telina, morcov, pastarnac, apio, leustean) in cantitati variabile, apa-340gr, sare-1gr",150/627,4.5,19,5,1,"peste, telina",
CIORBA PERISOARE DE PESTE,500GR,"Crap-60gr, novac-60gr, ou-5gr, legume-40gr (ceapa, ardei, telina, morcov, pastarnac, apio, leustean) in cantitati variabile, apa-340gr, sare-1gr",154/643,4.5,19,5,1,"peste, telina, ou",
STORCEAG,500GR,"Nisetru-120gr, ou-10gr, legume-40gr, (ceapa, ardei, telina, morcov, pastarnac, apio, leustean) in cantitati variabile, apa-310gr, smantana-20gr,sare-1gr",335/1400,26/4,24,6/0.4,1,"peste, telina, ou, lapte",
SARAMURA DE CHEFAL,800GR,"Chefal -400gr/file-200gr, mamaliga-200gr, legume in cantitati variabile -40gr ( rosii, ardei, usturoi, patrunjel) apa-158gr, sare-2gr",390/1630,4.5,43,31,2,"peste,usturoi,gluten",
